,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO,marker site,latitude,longitude,site_id
634,GARGALÃO,BEJA,MOURA,-,GUADIANA,205.0,274294.0,119206.0,A10 - MOURA - FICALHO,,2077770,38.03665,-7.28683,524/116
635,,BEJA,MOURA,SOBRAL DA ADIÇA,GUADIANA,270.0,272820.0,117950.0,A10 - MOURA - FICALHO,,68152,38.02545,-7.30374,524/40
636,SH PALHAIS 2,BEJA,MOURA,SOBRAL DA ADIÇA,GUADIANA,282.06,274703.0,113045.0,A10 - MOURA - FICALHO,,17286,37.98112,-7.28281,524/49
637,SH ROSA DA LAVADA 1,BEJA,MOURA,SOBRAL DA ADIÇA,GUADIANA,264.13,270017.0,116763.0,A10 - MOURA - FICALHO,,17278,38.01498,-7.33578,524/50
638,Vale Vargo,BEJA,SERPA,VALE DE VARGO,GUADIANA,245.0,265240.0,116175.0,A10 - MOURA - FICALHO,,17283,38.01004,-7.39023,524/51
639,,BEJA,SERPA,VALE DE VARGO,GUADIANA,230.0,265876.0,111398.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17032,37.96696,-7.38342,524/60
640,TS 3,BEJA,SERPA,VALE DE VARGO,GUADIANA,248.0,265125.0,116494.0,A10 - MOURA - FICALHO,EM SERVIÇO,17038,38.01292,-7.39151,524/82
641,TS 4,BEJA,SERPA,VALE DE VARGO,GUADIANA,245.0,265024.0,116640.0,A10 - MOURA - FICALHO,EM SERVIÇO,33995,38.01424,-7.39264,524/83
642,RF 1,BEJA,SERPA,VILA VERDE DE FICALHO,GUADIANA,265.0,273969.0,110138.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17040,37.95499,-7.29146,524/85
654,Poço na Horta da Genoveva,BEJA,BEJA,CABEÇA GORDA,GUADIANA,180.34,230505.0,107366.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076454,37.93251,-7.7861,531/46
655,AC 8,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,200.0,246468.0,106234.0,A9 - GABROS DE BEJA,EM SERVIÇO,17034,37.92164,-7.60461,532/136
656,TS 1,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,156.0,244147.0,108013.0,A9 - GABROS DE BEJA,EM RESERVA,17033,37.93778,-7.63089,532/153
657,SDH3 - Monte da Lobata,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,160.0,242550.0,109100.0,A9 - GABROS DE BEJA,,62469,37.94765,-7.649,532/75
658,SI1,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,160.0,251020.0,103800.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17053,37.89947,-7.55301,533/43
